id,word,html,description,pronounce
102,án phí,"<h1>án phí</h1><h2>noun</h2><ul><li>Legal costs, law expenses<ul style=""list-style-type:circle""><li>bị buộc phải trả án phí:<i>to be ordered to pay costs</i></li></ul></li></ul>","noun: Legal costs, law expenses",
103,án sát,<h1>án sát</h1><h2>noun</h2><ul><li>Feudal provincial mandarin in charge of criminal cases</li></ul>,noun: Feudal provincial mandarin in charge of criminal cases,
104,án thư,<h1>án thư</h1><h2>noun</h2><ul><li>High and narrow table</li></ul>,noun: High and narrow table,
105,án treo,<h1>án treo</h1><h2>noun</h2><ul><li>Suspended sentence</li></ul>,noun: Suspended sentence,
106,án tử hình,<h1>án tử hình</h1><h2>noun</h2>-death-sentence; death penalty<br/>,noun: ,
107,ang,<h1>ang</h1><h2>noun</h2><ul><li>crock; container for areca-nuts and betel</li></ul>,noun: crock; container for areca-nuts and betel,
108,ang áng,<h1>ang áng</h1><h2>adverb</h2>-about; approximately<br/>,adverb: ,
109,áng,"<h1>áng</h1><h2>noun</h2><ul><li>Fleece (of cloud), remarkable piece (of literary work), a glorious period (of war)</li></ul><h2>verb</h2><ul><li>To make a rough estimate<ul style=""list-style-type:circle""><li>cụ già áng sáu mươi tuổi:<i>an old man over sixty by a rough estimate, an old man over sixty, roughly speaking</i></li><li>tính áng xem bao nhiêu:<i>just make a rough estimate</i></li><li>tính ang áng số ngày công:<i>to make a very rough estimate of the number of the workdays</i></li><li>khoảng trên 50, ang áng là 53 cân:<i>over 50, 53 kilos by a very rough estimate (very roughly speaking)</i></li></ul></li></ul>","noun: Fleece (of cloud), remarkable piece (of literary work), a glorious period (of war)",
110,áng chừng,<h1>áng chừng</h1><ul><li>Approximately</li></ul>,Approximately,
111,anh,"<h1>anh</h1><h2>noun</h2><ul><li>Elder brother<ul style=""list-style-type:circle""><li>anh ruột:<i>Blood elder brother</i></li><li>anh cả:<i>eldest brother</i></li><li>anh cùng cha khác mẹ (hoặc cùng mẹ khác cha):<i>half-brother</i></li><li>anh rể:<i>brother-in-law (one's elder sister's husband)</i></li><li>anh chồng:<i>brother-in-law (one's husband's elder brother)</i></li><li>anh vợ:<i>brother-in-law (one's wife's elder brother)</i></li></ul></li><li>First cousin, cousin german (son of one's father's or mother's elder brother or sister)<ul style=""list-style-type:circle""><li>anh con nhà bác</li></ul></li></ul>",noun: Elder brother,
112,anh ách,<h1>anh ách</h1><ul><li>xem ách</li></ul>,xem ách,
113,anh ánh,"<h1>anh ánh</h1><ul><li>Gleaming, glimmerring</li></ul>","Gleaming, glimmerring",
114,anh chị,"<h1>anh chị</h1><ul><li>Ringleader, chieftain</li></ul>","Ringleader, chieftain",
115,anh dũng,<h1>anh dũng</h1><h2>adj</h2><ul><li>Of great fortitude</li></ul>,adj: Of great fortitude,
116,anh đào,"<h1>anh đào</h1><h2>noun</h2><ul><li>Cherry<ul style=""list-style-type:circle""><li>hoa Anh Đào, quả anh đào</li></ul></li></ul>",noun: Cherry,
117,anh em,"<h1>anh em</h1><h2>noun</h2><ul><li>Brothers, siblings<ul style=""list-style-type:circle""><li>anh em chú bác:<i>first cousins</i></li><li>gia đình đông anh em:<i>a large family, a family with many siblings</i></li><li>tình anh em:<i>brotherhood</i></li><li>sự kình địch giữa anh em ruột:<i>sibling rivalry</i></li></ul></li><li>Mates, comrades</li></ul>","noun: Brothers, siblings",
118,anh hùng,"<h1>anh hùng</h1><h2>noun</h2><ul><li>Hero<ul style=""list-style-type:circle""><li>các anh hùng truyện thần thoại La Mã:<i>the heroes of the Roman mythology</i></li><li>anh hùng quân đội:<i>an army hero</i></li><li>vị anh hùng dân tộc:<i>a national hero</i></li><li>được nghênh tiếp như một anh hùng:<i>to receive a hero's welcome</i></li><li>kẻ anh hùng rơm:<i>a braggart, a fanfaron,a bravado</i></li></ul></li></ul><h2>adj</h2><ul><li>Heroic, hero-like<ul style=""list-style-type:circle""><li>truyền thống anh hùng</li></ul></li></ul>",noun: Hero,
119,anh hùng ca,"<h1>anh hùng ca</h1><h2>noun</h2><ul><li>Epic, saga<ul style=""list-style-type:circle""><li>lịch sử Việt Nam quả là một thiên anh hùng ca bất diệt:<i>Vietnamese history is a quite immortal epic</i></li></ul></li></ul>","noun: Epic, saga",
120,anh hùng chủ nghĩa,"<h1>anh hùng chủ nghĩa</h1><ul><li>Characteristic of self-seeking heroism, adventurous, reckless</li></ul>","Characteristic of self-seeking heroism, adventurous, reckless",
121,anh linh,<h1>anh linh</h1><h2>noun</h2><ul><li>Hallowed memory (of a deceased person)</li></ul>,noun: Hallowed memory (of a deceased person),
122,anh minh,<h1>anh minh</h1><h2>adj</h2><ul><li>Clear-sighted and able</li></ul>,adj: Clear-sighted and able,
123,anh nuôi,<h1>anh nuôi</h1><h2>noun</h2><ul><li>Male cook</li></ul>,noun: Male cook,
124,anh quân,<h1>anh quân</h1><h2>noun</h2><ul><li>Clear-sighted and able monarch</li></ul>,noun: Clear-sighted and able monarch,
125,anh tài,"<h1>anh tài</h1><h2>noun</h2><ul><li>Luminary, outstanding talent</li></ul>","noun: Luminary, outstanding talent",
126,anh thư,<h1>anh thư</h1><h2>noun</h2><ul><li>Heroine</li></ul>,noun: Heroine,
127,anh tuấn,<h1>anh tuấn</h1><h2>noun</h2>-Eminent person<br/>,noun: ,
128,ảnh,"<h1>ảnh</h1><h2>noun</h2><ul><li>Image</li><li>Photograph, picture</li></ul>",noun: Image,
129,ảnh ảo,<h1>ảnh ảo</h1><h2>noun</h2>-Virtual image<br/>,noun: ,
130,ảnh hưởng,"<h1>ảnh hưởng</h1><h2>noun</h2><ul><li>Influence, effect, impact<ul style=""list-style-type:circle""><li>ảnh hưởng của cha mẹ đối với con cái:<i>influence of parents on their children</i></li><li>ảnh hưởng của tổ chức ấy lan rộng khắp vùng biên giới:<i>that organization's influence spreads over the border regions</i></li><li>ảnh hưởng của các phương pháp mới đối với công nghệ hiện đại:<i>the impact of new methods on modern technologies</i></li><li>ảnh hưởng bất lợi:<i>adverse effect</i></li><li>phát huy ảnh hưởng của:<i>to promote the effect of</i></li><li>gây ảnh hưởng cá nhân:<i>to cultivate one's personal influence</i></li><li>khu vực ảnh hưởng:<i>sphere of influence</i></li><li>ảnh hưởng của họ đang lu mờ</li></ul></li></ul>","noun: Influence, effect, impact",
131,ảnh lửa,<h1>ảnh lửa</h1><h2>noun</h2>-fire-light<br/>,noun: ,
132,ánh,"<h1>ánh</h1><h2>noun</h2><ul><li>Clove<ul style=""list-style-type:circle""><li>ánh tỏi:<i>a clove of garlic</i></li></ul></li><li>Light, glare<ul style=""list-style-type:circle""><li>ánh đèn pha xe hơi:<i>the glare of car headlights</i></li><li>ánh mặt trời:<i>the glare of the sun</i></li><li>ánh trăng:<i>moonlight</i></li><li>cuộc đi dạo dưới ánh trăng:<i>a walk by moonlight</i></li></ul></li></ul><h2>adj</h2><ul><li>Lustre<ul style=""list-style-type:circle""><li>ánh kim:<i>metallic lustre</i></li></ul></li></ul>",noun: Clove,
133,ánh đèn,<h1>ánh đèn</h1><h2>noun</h2>-lamplight<br/>,noun: ,
134,ánh nắng,"<h1>ánh nắng</h1><h2>noun</h2>-sunlight; sunshine<br/><ul style=""list-style-type:circle""><li>có ánh_nắng:<i>sunny</i></li></ul>",noun: có ánh_nắng:<i>sunny</i>,
135,ánh sáng,"<h1>ánh sáng</h1><h2>noun</h2><ul><li>Light<ul style=""list-style-type:circle""><li>ánh sáng ban ngày:<i>daylight</i></li><li>chỗ sáng và chỗ tối:<i>light and shade</i></li><li>dưới ánh sáng của chân lý:<i>in the light of truth</i></li><li>ánh sáng của khoa học hiện đại:<i>the light of the modern science</i></li><li>ánh sáng lung linh của một ngọn nến:<i>the flickering light of a candle</i></li><li>đứng che ánh sáng khiến ai không thấy rõ:<i>to stand in someone's light</i></li><li>tôi mong rằng những việc làm ám muội của ông ta sẽ được đưa ra ánh sáng</li></ul></li></ul>",noun: Light,
136,ao,"<h1>ao</h1><h2>noun</h2><ul><li>Pond</li></ul><h2>verb</h2><ul><li>To measure roughly, to measure approximately<ul style=""list-style-type:circle""><li>ao thúng thóc:<i>to measure approximately a basket of paddy</i></li></ul></li></ul>",noun: Pond,
137,ao ước,"<h1>ao ước</h1><h2>verb</h2><ul><li>To wish for, to long for, to crave for<ul style=""list-style-type:circle""><li>sinh viên nào trong khoa luật cũng ao ước giành được cảm tình của cô gái xinh đẹp ấy:<i>any student in the Faculty of Law longs to be in that pretty girl's favour</i></li><li>ao ước mau hết bệnh sốt thương hàn:<i>to crave for a quick recovery from typhoid fever</i></li><li>sự ao ước, niềm khao khát:<i>wish, longing, craving</i></li><li>sự ao ước được sống độc lập tự do:<i>a longing for independence and freedom</i></li></ul></li></ul>","verb: To wish for, to long for, to crave for",
138,ào,"<h1>ào</h1><h2>adv</h2><ul><li>Impetuously<ul style=""list-style-type:circle""><li>lội ào xuống ruộng:<i>to wade impetuously into a field</i></li></ul></li></ul><h2>verb</h2><ul><li>To rush<ul style=""list-style-type:circle""><li>nước lụt ào vào các cánh đồng lúa:<i>floods of water rushed into rice fields</i></li></ul></li></ul>",adv: Impetuously,
139,ào ào,"<h1>ào ào</h1><h2>adj</h2><ul><li>Impetuous<ul style=""list-style-type:circle""><li>mưa ào ào như thác:<i>the rain impetuously rumbled down like waterfalls</i></li></ul></li></ul>",adj: Impetuous,
140,ào ạt,"<h1>ào ạt</h1><h2>adj</h2><ul><li>Impetuous, vehement<ul style=""list-style-type:circle""><li>tiến quân ào ạt:<i>to stage an impetuous advance</i></li><li>gió thổi ào ạt:<i>The wind blows impetuously</i></li></ul></li></ul>","adj: Impetuous, vehement",
141,ảo,"<h1>ảo</h1><h2>adj</h2><ul><li>Illusive, illusory</li><li>Imaginary<ul style=""list-style-type:circle""><li>số ảo:<i>imaginary number</i></li></ul></li></ul>","adj: Illusive, illusory",
142,ảo ảnh,"<h1>ảo ảnh</h1><h2>noun</h2><ul><li>Illusion, phantasm, phantom</li><li>Mirage</li></ul>","noun: Illusion, phantasm, phantom",
143,ảo giác,"<h1>ảo giác</h1><h2>noun</h2><ul><li>Illusion, optical illusion</li><li>Fancy, fantasy</li></ul>","noun: Illusion, optical illusion",
144,ảo mộng,"<h1>ảo mộng</h1><h2>noun</h2><ul><li>Fantastic dream, day-dream, castle in the air</li></ul>","noun: Fantastic dream, day-dream, castle in the air",
145,ảo não,"<h1>ảo não</h1><h2>adj</h2><ul><li>Doleful, pathetic, plaintive<ul style=""list-style-type:circle""><li>gương mặt ảo não:<i>a doleful face</i></li><li>giọng nghe ảo não:<i>a voice sings plaintively</i></li></ul></li></ul>","adj: Doleful, pathetic, plaintive",
146,ảo thị,<h1>ảo thị</h1><h2>noun</h2><ul><li>Optical illusion</li></ul>,noun: Optical illusion,
147,ảo thuật,"<h1>ảo thuật</h1><h2>noun</h2><ul><li>Prestidigitation, legerdemain, jugglery<ul style=""list-style-type:circle""><li>nhà ảo thuật:<i>prestidigitator, conjurer, juggler, illusionist</i></li><li>trò ảo thuật:<i>conjurer's tricks</i></li></ul></li></ul>","noun: Prestidigitation, legerdemain, jugglery",
148,ảo tưởng,"<h1>ảo tưởng</h1><h2>noun</h2><ul><li>Fancy, illusion, fantastic notion, day-dream<ul style=""list-style-type:circle""><li>không nên có ảo tưởng về thiện chí của kẻ phản bội này:<i>one must not entertain any illusion about this traitor's good will</i></li><li>ấp ủ những ảo tưởng:<i>to cherish (harbour, entertain) illusions</i></li></ul></li></ul>","noun: Fancy, illusion, fantastic notion, day-dream",
149,ảo tượng,<h1>ảo tượng</h1><h2>noun</h2><ul><li>Mirage</li></ul>,noun: Mirage,
150,ảo vọng,"<h1>ảo vọng</h1><h2>noun</h2><ul><li>Fantastic hope, fantastic wish<ul style=""list-style-type:circle""><li>không nên có ảo vọng giành độc lập tự do bằng phương pháp hoà bình:<i>one should nurture no fantastic hope to achieve independence and freedom by peaceful means</i></li></ul></li></ul>","noun: Fantastic hope, fantastic wish",
151,áo,"<h1>áo</h1><h2>noun</h2><ul><li>(địa lý) Austria<ul style=""list-style-type:circle""><li>người áo:<i>Austrian</i></li></ul></li><li>Jacket, coat, tunic, dress, gown<ul style=""list-style-type:circle""><li>mặc áo lông:<i>to wear (put on) a fur coat</i></li><li>áo rách khéo vá hơn lành vụng may:<i>a well-mended old jacket is better than an ill-stitched new one</i></li></ul></li><li>Case, wrapping<ul style=""list-style-type:circle""><li>áo gối:<i>pillow-case</i></li></ul></li><li>Crust, coat<ul style=""list-style-type:circle""><li>viên thuốc bọc lớp đường làm áo, viên thuốc bọc đường:<i>a pill with a sugar coat, a sugar-coated pill</i></li></ul></li><li>Cloak, cover</li></ul>",noun: (địa lý) Austria,
152,áo cánh,<h1>áo cánh</h1><ul><li>Short jacket</li></ul>,Short jacket,
153,áo choàng,"<h1>áo choàng</h1><h2>noun</h2><ul><li>Overcoat, gown<ul style=""list-style-type:circle""><li>áo choàng tắm:<i>bathrobe</i></li></ul></li></ul>","noun: Overcoat, gown",
154,áo dài,"<h1>áo dài</h1><h2>noun</h2><ul><li>Glowing tunic, dress<ul style=""list-style-type:circle""><li>áo dài cứ tưởng là sang bởi không áo ngắn phải mang áo dài:<i>tunics are no status symbol, they wear them for they have no short jackets</i></li></ul></li></ul>","noun: Glowing tunic, dress",
155,áo giáp,<h1>áo giáp</h1><h2>noun</h2>-cuirass; armour<br/>,noun: ,
156,áo gối,<h1>áo gối</h1><h2>noun</h2>-pillow-case<br/>,noun: ,
157,áo khách,<h1>áo khách</h1><h2>noun</h2><ul><li>Chinese-styled jacket</li></ul>,noun: Chinese-styled jacket,
158,áo khoác,<h1>áo khoác</h1><h2>noun</h2><ul><li>Overcoat</li></ul>,noun: Overcoat,
159,áo lá,<h1>áo lá</h1><ul><li>Undervest</li><li>Palm-leaf raincoat</li><li>leaf-dress# Syn: áo tơi<br/></li></ul>,Undervest,
160,áo lặn,"<h1>áo lặn</h1><h2>noun</h2><ul><li>Diving-suit, diving-dress<ul style=""list-style-type:circle""><li>quần áo bơi:<i>bathing-suit, bathing-costume, swimming-costume</i></li></ul></li></ul>","noun: Diving-suit, diving-dress",
161,áo lót,"<h1>áo lót</h1><h2>noun</h2><ul><li>Vest, undervest<ul style=""list-style-type:circle""><li>quần áo lót:<i>underwear, underclothing, underclothes</i></li></ul></li></ul>","noun: Vest, undervest",
162,áo mưa,"<h1>áo mưa</h1><h2>noun</h2><ul><li>Waterproof, raincoat, mackintosh<ul style=""list-style-type:circle""><li>nhớ mặc áo mưa, vì trời đang mưa dữ lắm!:<i>don't forget to wear a raincoat, because it is raining cats and dogs!</i></li></ul></li></ul>","noun: Waterproof, raincoat, mackintosh",
163,áo ngủ,<h1>áo ngủ</h1><h2>noun</h2>-night-dress<br/>,noun: ,
164,áo quan,<h1>áo quan</h1><h2>noun</h2><ul><li>Coffin</li></ul>,noun: Coffin,
165,áo quần,<h1>áo quần</h1><ul><li>Như quần áo</li></ul>,Như quần áo,
166,áo sơ mi,<h1>áo sơ mi</h1><h2>noun</h2>-shirt<br/>,noun: ,
167,áo tế,<h1>áo tế</h1><h2>noun</h2><ul><li>Ritual robe</li></ul>,noun: Ritual robe,
168,áo thụng,<h1>áo thụng</h1><h2>noun</h2><ul><li>Large-sleeved ceremonial robe</li></ul>,noun: Large-sleeved ceremonial robe,
169,áo tơi,<h1>áo tơi</h1><h2>noun</h2><ul><li>Palm-leaf raincoat</li><li>leaf-dress</li></ul>,noun: Palm-leaf raincoat,
170,áo trấn thủ,<h1>áo trấn thủ</h1><h2>noun</h2><ul><li>Padded cotton waistcoat</li></ul>,noun: Padded cotton waistcoat,
171,áo vệ sinh,<h1>áo vệ sinh</h1><h2>noun</h2><ul><li>Cotton sweater</li></ul>,noun: Cotton sweater,
172,áp,"<h1>áp</h1><h2>verb</h2><ul><li>To press against, to stand against<ul style=""list-style-type:circle""><li>áp tai vào cửa:<i>to press one's ears against the door</i></li><li>áp cái ghế dài vào tường:<i>to stand a bench against the wall</i></li></ul></li><li>To affix<ul style=""list-style-type:circle""><li>áp triện:<i>to affix a seal</i></li></ul></li><li>To be next to, to be close to<ul style=""list-style-type:circle""><li>đứng áp chót:<i>to stand next to the last</i></li><li>nhà ở áp sân vận động:<i>the house is close to a stadium</i></li><li>những ngày áp tết:<i>the days just before Tet</i></li></ul></li></ul>","verb: To press against, to stand against",
173,áp bức,"<h1>áp bức</h1><h2>verb</h2><ul><li>To oppress<ul style=""list-style-type:circle""><li>áp bức các tộc người thiểu số:<i>to oppress the ethnic minorities</i></li><li>các dân tộc bị áp bức:<i>the oppressed nations</i></li></ul></li></ul><h2>noun</h2><ul><li>oppression<ul style=""list-style-type:circle""><li>đả đảo nạn áp bức chủng tộc!:<i>down with the racial oppression!</i></li><li>kẻ áp bức và kẻ bị áp bức:<i>the oppressor and the oppressed</i></li></ul></li></ul>",verb: To oppress,
